"","msno","is_churn","is_duplicate","city","age","gender","registered_via","registration_init_time","payment_method_id","payment_plan_days","plan_list_price","actual_amount_paid","is_auto_renew","is_cancel","n_transactions","payment_price_diff"
"45","Ecs9/ncJHbLek3An4JVcjLomXTjA4P7Yxzcb78qHVHM=",1,1,5,67,2,7,20160303,41,30,99,99,1,0.0769230769230769,13,0
"46","IXc6fgAg58PDFcJi3VI9mv0mluF6N33rRCYzurPO5Es=",0,1,12,33,1,9,20081006,36.6923076923077,28.9615384615385,154.307692307692,160.038461538462,0.5,0.0769230769230769,26,-5.73076923076923
"47","1qJ7eEqZYjENpoiWoygKatdi4n3pW1FpzxS7pb8yksI=",0,1,11,23,1,3,20131215,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"48","0lu71Q2ADlP8NGvvclIxiRGZ3w0EREFcQOjAiMGCD0o=",0,1,14,31,2,9,20090818,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"49","1USjvmvyDOjJFlgu6sVxV7KfixVv7ETP9iAQJXNeoAk=",0,0,9,21,2,9,20110614,38,96.4285714285714,447,468.285714285714,0,0,7,-21.2857142857143
"50","c2/uURttDslPuH68o/MtYW0mGp+kGSgWqwYYQ17AB/I=",0,1,15,22,2,7,20160702,41,30,99,99,1,0,8,0
"51","xguboBoreXcP1YSsLGU0SCxxn7dYKt0aK6bAnOvSoyU=",0,0,4,28,2,7,20140421,41,30,140.111111111111,134.555555555556,1,0.037037037037037,27,5.55555555555556
"52","osfaLLGCKBOLIvXXtFtVbLJ6Xa2WBMhEgjkyRuwi7wk=",0,1,15,22,1,4,20151210,38.9,30,149,149,0.9,0,10,0
"53","I8YmZ7tp9ZR7k3LAk+PBQ7kCP0Fr6Gm2sKuzYwzxuow=",0,1,14,25,1,9,20111015,33,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"54","BbexCNi9wdEvR5bfriUNraHdKr8n+4jnx1vmBUZhe0o=",0,1,5,25,1,7,20160623,41,30,99,99,1,0,9,0
"55","inqQji1rJOECycv3YLz0qzvHNpVk5XAIBGLxKRgjJtA=",0,1,14,31,2,7,20120120,41,30,139.769230769231,139.769230769231,1,0.0384615384615385,26,0
"56","Tz/STEQ9Vup6qQJQENkP+wyuOcQu8OO/LMhN+qjAxPU=",0,1,13,28,1,9,20051023,36.08,28.8,158.36,164.36,0.24,0.04,25,-6
"57","icpwHc/wDls1w/g59APZB1mmUyrvjLY2H3ZyUS2EkRI=",0,0,5,20,2,9,20150418,37.75,35.5833333333333,163.916666666667,163.916666666667,0,0,12,0
"58","36MCbPmLdHCM5l+X+2EEZ4RIRddLUVldYvalTKBIZ1M=",0,1,15,26,2,9,20091212,37,29,143.269230769231,149,1,0,26,-5.73076923076923
"59","PspnTEk4gH1yt6Z39j4ttzS9K/iENU1DjRg0wBYWQPg=",0,1,6,28,2,9,20141017,33,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"60","D7F2T/IC4xvyeIVddSRNyo2mOW7tu9nBrBN/0+Vpdq4=",0,1,12,28,2,3,20130228,37,30.1538461538462,149,149,1,0,26,0
"61","mZyF42R0d+UfSO5Uw12vEyeKfPt1A2cbIDZf6AG49N0=",0,1,13,27,2,9,20070218,37,28.9615384615385,143.269230769231,149,1,0,26,-5.73076923076923
"62","EYh/mnUpDRY/5styrWwCy5Qu7OzioUDT8U88XweBoTI=",0,1,5,46,1,9,20080823,37,28.9615384615385,143.269230769231,149,1,0,26,-5.73076923076923
"63","z3LgxfHGVD6J45+qhaHXlcdyupyHIHcaPoDKIhY5Kwc=",0,1,17,38,1,9,20100225,34,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"64","kLxStxefSNiWD8tuaiN9gweqKpRHm0ffH72Cs3/ZAfY=",0,1,9,31,1,3,20120208,40,30.1851851851852,149,143.481481481481,1,0.037037037037037,27,5.51851851851852
"65","yg8vfcCdyDKC4MuTfetxIXyjyhbcaWJpKZIlrOeYeoM=",0,1,7,22,2,9,20091227,38.8181818181818,30,149,149,0.818181818181818,0,11,0
"66","BzYcKbuFdCRBVT7ypvSfTGE/Xb5NC90ufiCUZGnN58o=",0,1,5,29,1,9,20060814,34,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"67","wezyz+2tbbEXc4SFYaVCtUbkezyR2goeQ0VuUWVoN+0=",0,1,14,27,2,9,20061118,39.9615384615385,30.1538461538462,149,149,1,0.0384615384615385,26,0
"68","7Yd9SsSI8/Za83qruLpUfC3ZLHxsGKt8MAY9KDH4/Gs=",0,1,5,35,1,9,20080429,34,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"69","aQPjjEGbRcz4SsvFFaJ4T6MwAUynh6vbhQrfhNuhN14=",0,1,13,33,1,9,20091108,33,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"70","wVU8CXrqlRekQaAZykoYT3OIAHSl02frcF/t/sB3X+I=",1,0,13,24,1,4,20160830,36,30,180,180,0,0,1,0
"71","g/m4r/5zafeczbwnZumROCMNbFK52MGXiWhr6WO/VJg=",0,1,10,28,1,9,20091226,32,103,298.8,313.8,0,0,10,-15
"72","UMSo+eW0LEm0LON/2CU4toosh9fagHBkCyqHB9FVExk=",0,1,13,35,1,9,20070725,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"73","LpfISBO/T2j/dHbLhsBWJ2gDQpxoQf03svSCRhl3J+o=",0,1,14,32,2,3,20140622,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"74","JTjfW31Rg/xRsjedOmVjN+N6ek+T6YD4g6MjkNYY30A=",0,1,1,26,1,3,20150618,36,30,163.5,163.5,0.45,0,20,0
"75","12XSJFljNo7PgPwo7xEHb/++qXBjGk2RmjuskGGtzsw=",0,1,13,23,2,3,20121206,34,22.1739130434783,110.130434782609,149,1,0,23,-38.8695652173913
"76","bcKxP8pAQ1wrcjYoTVj6woBt1h8F09c8EYz4TH4RL5g=",0,1,22,24,1,9,20130304,39,30,149,149,1,0,11,0
"77","xTyLO+c8bJF2kTpCV2FB5rQUea/3lv4G4UO9VoKAQ5Q=",0,1,13,25,1,4,20160222,39.1666666666667,26.1666666666667,124.166666666667,124.166666666667,0.833333333333333,0.166666666666667,6,0
"78","dvAAMhYerDh+dKvnzyVxL3dG7aWilEEy/dzZfTSE8rw=",0,1,5,46,2,9,20121226,35.75,26.25,145,163.666666666667,0.5,0.0416666666666667,24,-18.6666666666667
"79","Ufe7iKYDUHuneQ9Bs8L0MjgDgjLuunukrg+q4IMad5s=",0,1,5,25,1,7,20110422,41,28.8461538461538,143.269230769231,149,1,0,26,-5.73076923076923
"80","7bFqb7hWdw9w9Ay/SmG7B2SrWGq/WleLf4wwNopLkOs=",0,1,5,27,2,3,20121012,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"81","rgalLKBed5UxPiOY9nBIJrWYHkrw0CaVL+Xz1ysFeq4=",0,0,8,22,2,9,20080806,37.6,27.7,135.65,135.65,0,0,20,0
"82","UvfbnbpXIrD+shAxzlxDPFLagCd23NpiD6D4usAeOn4=",0,1,4,36,1,3,20160804,29,30,180,180,0,0,7,0
"83","+XknNi8JvbJ7DpeVtRPJEaG5emlJhlL7S8pLMjYwcdE=",0,1,4,29,1,3,20131216,40,28.9615384615385,143.269230769231,149,1,0,26,-5.73076923076923
"84","/CLKPZUPv1RARTbG4g3VefCbLTofjDI0ZpBvaMIvanA=",0,1,4,23,1,7,20151006,41,30,99,99,1,0,17,0
"85","7EXuWQFywncRQdFjPBqv+393icvDkFttHb+zYReZZHM=",1,0,13,39,1,9,20140219,32,180,536,536,0,0,4,0
"86","HVZliZ0ml2G/e43GMD70yVuv7JGL5AIRx4E27amTYyA=",0,1,4,24,2,9,20130311,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"87","olvAGWZT7sq1DSdJScLut9/0F0B0GIjhI/p0UVw32jw=",0,1,4,47,1,3,20150927,37,30,149,149,1,0,17,0
"88","U9IqkufJzK3EDQKrDGmlQCA65dW092+nAnjlRV02Tn4=",0,1,5,46,2,9,20111202,40,29.037037037037,143.481481481481,149,1,0.037037037037037,27,-5.51851851851852
"89","nKazDH2RAf7dZdY6yFNuVVWkXqf8G+d7pnAA4LOuYnU=",0,1,22,27,1,3,20150720,40,30,149,149,1,0,10,0
"90","1rxlG39MnDjtC29y9nn0SxJSLOadosdnJbKanx46j7M=",0,0,15,39,2,9,20061025,36.6111111111111,28.5,152.777777777778,161.055555555556,1,0.0555555555555556,18,-8.27777777777778
"91","vJsgQmsaMZRVtDHkcv/X9Sg4RQ/x4SXmA/suBVytutg=",1,0,1,22,1,3,20160117,36,30,180,180,0,0,1,0
"92","ndSBVBHo30aq8GVgNYgVgcGfA3pjAq5F+XN9m+yPW6k=",0,0,9,31,1,9,20040828,40,29,143.269230769231,149,1,0,26,-5.73076923076923
"93","3/vtCNnbcWwx4Y1YDiWkv87cSRkz72Lr4auPR5KxPbg=",0,1,12,27,1,9,20131014,35.7826086956522,22.1739130434783,110.130434782609,149,1,0.0434782608695652,23,-38.8695652173913
"94","aSTbsHdv0b8plFrnhx3RHWWh/pGIgW7/UT2Jwg7oBS4=",0,1,22,35,1,9,20151031,27,30,149,149,1,0,10,0
"95","hgWgN85YgIf4lJB43ri6rpdu+tFsebo7uv0ifwMCTvQ=",0,1,14,20,2,9,20110904,37.5,49,238.8125,248.125,0.5,0.0625,16,-9.3125
"96","UtLmmbZ3m4zgnm2f4MbZy+K34Zq/GLExro5+9knfCIM=",0,1,12,28,2,9,20100928,37,30.1538461538462,149,149,1,0,26,0
"97","i/LviyAuvGNOHVkgE/29agtItyB5OBSP7rEvMILrRDw=",0,1,22,28,1,9,20070103,31,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"98","jv9IxRxkkUV9CmUpuhjC9gMB/plDcESzbfovZCCkzHc=",0,1,22,24,2,9,20070609,40,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"99","46+xs9kNS3DYQjHPC+O3LhpnavY1EGe6Pidbfrc+ACY=",0,1,5,27,1,9,20080629,38.3333333333333,28.875,155.708333333333,155.708333333333,0.916666666666667,0.125,24,0
"100","NR7g3POB2vCkTJTDhAAW6uJHmclbWQHpvekQfQMu4Ro=",0,1,21,26,1,7,20110105,41,28.75,122.375,127.75,1,0.0416666666666667,24,-5.375
"101","GqI17nq4lAh2Bad4u8AauZkjJEDEndgevRKhQwV0cc4=",0,1,10,32,2,9,20110309,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"102","bV747zXhvxvQf5G+caV4t0fFDaw6QCbyb+xMHeRyaxs=",1,0,1,30,1,3,20131027,36,30,161.25,161.25,0,0,8,0
"103","yIahWMk5YzQcTkpK6oDz8E/P2bO7jZfILNj+zEfMqlE=",0,1,15,33,1,9,20070121,39,28.7,141.55,149,1,0.05,20,-7.45
"104","bZE15rTUSsk6g3b0euJZ8XA6McIl5O57HnIk8A+I70g=",0,1,5,23,1,7,20120818,41,28.9655172413793,137.310344827586,133.137931034483,1,0.0689655172413793,29,4.17241379310345
"105","VLiO+0YPHnt8+7gN9RSnISuHFzXyM3WwXksbvZT/+Z4=",0,1,12,19,2,4,20160730,38.4,42,178.8,149,0.8,0,5,29.8
"106","th1SWotb2UQln/5TUrQN9x/4txuUH61DR5JBHOG3J5s=",0,0,8,22,2,3,20140401,38.9090909090909,28.7727272727273,142.227272727273,142.227272727273,0.636363636363636,0.0454545454545455,22,0
"107","cp7g8neDIi72cVJK9w6Q9QH6GH6Epg2w2t9GOW60dVk=",0,1,13,18,1,9,20130225,38.6153846153846,30,149,149,0.615384615384615,0,13,0
"108","rGKf7SpkQjzYe6IjscwV+b+5PU6sagPMrkpDFjhvwKk=",0,1,5,52,1,9,20070318,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"109","E2ZsrarGoGVQqxvViamGH1CsWlvBYcu9OfCc7P0DF2Q=",0,1,13,31,2,7,20151228,41,30,130.25,130.25,1,0,16,0
"110","BjqA8k++plbASC781z8R2KmJRwOm/914PxF1zWOIR3U=",0,1,5,52,1,9,20041020,40,29,143.269230769231,149,1,0,26,-5.73076923076923
"111","b/0fgSrXHRotQ8rTgSzYnZdT2d4K2WIftZq+PcllI7w=",0,1,5,44,2,9,20100128,40,30.3333333333333,149,149,1,0,12,0
"112","MVwoWw2xGJTBOkJHJl6AQMi80cy10DtM9MP/D0T0zTU=",1,1,5,17,2,4,20151220,38,30,149,149,0,0,6,0
"113","kEzx9Czcl8sLHxW+k81SU0YHhLl2gwznygGVHo4mYKs=",0,0,4,22,2,9,20150206,37.5,34.375,171.625,171.625,0.75,0.125,16,0
"114","MFek8QQ8LMjtYnuShquNYbDUDMMPU0I/UUiZqFix5L0=",0,1,5,17,1,3,20170105,38,30,149,149,0,0,2,0
"115","mnM8gEUahtWgoQtbW4eSZf2nPZADGBVECkRTBkIu/1M=",0,1,5,27,1,9,20080411,37.8571428571429,30.1904761904762,149,149,1,0.0476190476190476,21,0
"116","tu4CGQihatnwfti9QTvL31B6Sh/WqmvnHxtgTuTVDAY=",0,1,4,42,1,3,20141012,36,30,180,180,1,0,5,0
"117","ywyIvjj4epxYAtsGaz9VOR3SCoNHeN4o0kEWGkl7vgs=",0,1,15,22,1,9,20130623,38.1666666666667,28.5,149.333333333333,157.611111111111,1,0.0555555555555556,18,-8.27777777777778
"118","ZcIL1HWtC6pVyxqPwrJ5bDMYnl0KTvtVROSsjzHnS2Q=",0,1,5,32,1,3,20140815,38,28.8461538461538,143.269230769231,149,0,0,26,-5.73076923076923
"119","+b5MEytiYegXObMD2XOzv/dgALOqxMHNGemW9RIIAX4=",1,1,5,19,2,3,20170116,36,30,180,180,1,0,2,0
"120","IVyW8bXDWYW5u9wMe7nA8Ue0obuITlukRQU6qwly6Jw=",0,0,7,33,2,9,20140215,38,360,1200,1200,0,0,2,0
"121","XoC9jyw39apQcoPqwDLVNwyjnbYg2i5ueW5kx3JsQHk=",0,1,13,24,2,9,20140117,37,30.1538461538462,149,149,1,0,26,0
"122","UxUECqdJOggW68HH6tZbUyXXxuO9HSt80A9oyuvxRu0=",0,1,22,30,2,9,20090917,37,30.1923076923077,149,149,1,0,26,0
"123","3iwPS/FKDzh/poMset4Er9upI/11Y7VJqnoyklj/9ck=",0,1,13,26,1,9,20070511,18,28.8461538461538,143.269230769231,149,1,0,26,-5.73076923076923
"124","fgPQqIx+I4SaYuzIoWj7jgHUmoGUxCOFVkJ4QKzRJiE=",0,1,14,26,2,9,20060316,34,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"125","hMQKjrdHRET1oj8XZhTSd6HxomdQ788motl8LihjBOs=",1,0,13,30,2,9,20140227,33,21.8181818181818,108.363636363636,149,1,0.0454545454545455,22,-40.6363636363636
"126","n6l6BvDMyUNkzBhA7eDoLlhqiEZGWW7UW1Da3fuCkY4=",0,1,6,29,1,3,20161009,36,30,180,180,0,0,5,0
"127","wLa9FBva+kbKXK89Xx8ciC5DoK4glrgUmooW8PFdbxU=",0,1,17,55,1,4,20161231,34,30,149,149,1,0,3,0
"128","9vogwEUjMXAwNioZ9Tc8K/dj8anKxyp6dmTj78ySIIw=",0,1,13,30,1,9,20120412,36.8,30.2666666666667,171.733333333333,171.733333333333,1,0.0666666666666667,15,0
"129","FqqyyKjmGX4JPu3ZVWlfLGh4N3OJAz/KX+5HKUxTVCs=",1,0,5,40,1,9,20140119,32,295,1162,1162,0,0,2,0
"130","lU57TKJiP0USVVjwGZlOxRpABr1Rb/M8Qy//TaX3jJo=",0,1,15,24,2,9,20090112,37.8888888888889,28.5,144.166666666667,152.444444444444,1,0.0555555555555556,18,-8.27777777777778
"131","06ic6Lf7gRveTZMBmsIrELzGo0yTRInUD6HGTCeixko=",0,1,5,44,2,4,20160812,29,30,180,180,0.428571428571429,0,7,0
"132","ezQ2cfJ817rajpGIQwJlpr9hIuZ5Eu4+iw3ZBvajGnc=",0,1,22,22,1,3,20111225,36.5263157894737,30,165.631578947368,165.631578947368,0.578947368421053,0.0526315789473684,19,0
"133","nvuD0OaYHQBWzbBZ/G8ZTVUVenNcUnS7yDMQe7ns1vU=",0,1,8,54,1,9,20091212,34,21.8181818181818,108.363636363636,149,1,0,22,-40.6363636363636
"134","ePCOFTwb/pcqh4kVNf8BpJmCfjSsp9NQRNfaKq4i9C8=",0,1,5,34,1,9,20050601,34.72,28.96,143.04,143.04,1,0.08,25,0
"135","wMvWh3zOBxhXpYuGg3NlZqzeGw4yKWh4rw2rwEBwPiU=",0,1,9,39,2,7,20130104,41,28.8461538461538,143.269230769231,149,1,0,26,-5.73076923076923
"136","rxM2/eUCKjkK3w9YZ9dq1B2E92GdZZzGeP2n75yatSk=",0,1,13,18,1,4,20160224,39,30,149,149,1,0.111111111111111,9,0
"137","gaS0Ki3f1xcdTMkLzDTf/N7x8i5Ho2wg1njUsbnnxDk=",0,1,13,27,1,9,20130610,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"138","9pjaKJWBfQbsJUC56TBv+14S2/GkevqKm8ehs6m/DiU=",0,1,15,36,2,7,20120104,41,28.9655172413793,129.379310344828,130.379310344828,1,0.0689655172413793,29,-1
"139","4DUTPqfzG3uwWW0FKRTtc8F1OTY2bnyfSKTc9ylF9V4=",0,1,21,26,2,7,20130225,41,28.8461538461538,143.269230769231,149,1,0,26,-5.73076923076923
"140","nb3SZfc1VwSXXOKovvkh3E+bOaSecT7ZWeZQLmYu3EE=",0,1,15,23,2,9,20090331,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"141","VNGnBxuEvRQ2Dpl70kocvipuGmYel0O03cLJBPw6DSY=",0,1,6,21,1,7,20121121,41,28.8888888888889,139.777777777778,135.296296296296,1,0.037037037037037,27,4.48148148148148
"142","gKguXBsPHg3s3T49qwSwYUkqaSZK/pGw27ktGeJXnCo=",0,0,9,29,2,7,20120504,41,28.8461538461538,116.346153846154,117.461538461538,1,0.0384615384615385,26,-1.11538461538462
"143","BozF18qwWWaF/QciHhCVs5aC45EGihOF+8bHv7iT/TU=",0,1,18,23,2,3,20121119,37.76,28.84,143.04,149,0.88,0.04,25,-5.96
"144","cJ8WXLuVJSKl9ZCfbsojoicp5bkcaPmokRCPpoKPom8=",0,1,6,31,1,7,20140602,41,30,99,99,1,0,14,0
"145","7OUvTj45DqNzW75TefP+zB+Wjg2N4LoVB1tVKesarV8=",1,0,1,32,1,3,20151101,36,30,168,168,0,0,15,0
"146","xJ2WKGtDhHjAId7oJ/l1Ed9WbA4Ov+vg7ZeECH2Hh2g=",0,1,11,26,1,9,20081107,39,28.5789473684211,141.157894736842,149,1,0,19,-7.84210526315789
"147","zJl3coCUA7SnrOsszclDWMwr//g9YipX/akUtx9OqTE=",0,1,12,27,2,7,20100924,41,28.8,123.84,129,1,0,25,-5.16
"148","TnJ2vC0qMO7sKEkcMZYG4cBl5ClVWPLYa1iAF1+L/RA=",0,1,4,31,2,3,20151003,36.8823529411765,30,152.647058823529,152.647058823529,1,0.0588235294117647,17,0
"149","unBhMLVEhvAZ4bPyryC/VJW8e2PjL08CadFMhCbgSrU=",1,0,5,20,1,9,20100212,32,410,1788,1788,0,0,1,0
"150","Lm4ous22vey5hkS7G132RxbMia/E+cD0W983qH5p810=",0,1,4,27,2,9,20070219,37,30.1923076923077,149,149,1,0,26,0
